"filename","family","license","license_class","license_note","status_flag","status_note","attribution","institution","ledger","verdict","used_by","dims","kb","path"
"B30_023__LSE_FOUND_B27_ABIOTIC_Tomato_GlyphosateInjury_YellowDistortedNewGrowth_NathanHoward-UKentucky-Bugwood_BW194939.jpg","third-party","BW194939","GRANTED","Bugwood image request 194939, approved 2026-09-22",,"","Nathan Howard-UKentucky-Bugwood","Bugwood","granted, Bugwood image request 194939, approved 2026-09-22","clear","Book 4","3071x2300","1070","C:\Users\dstor\lse-repo\assets\B30_023__LSE_FOUND_B27_ABIOTIC_Tomato_GlyphosateInjury_YellowDistortedNewGrowth_NathanHoward-UKentucky-Bugwood_BW194939.jpg"
"B30_025__LSE_FOUND_B27_ROOTS_Tomato_FusariumWilt_VascularBrowningStemSplit_NCSU-IngaMeadows_GRANTED-NCSU.jpg","third-party","GRANTED-NCSU","GRANTED","NC State Extension permission, via Frank Louws",,"","NCSU-Inga Meadows","NCSU","granted, NC State Extension permission, via Frank Louws","clear","Book 4","600x450","37","C:\Users\dstor\lse-repo\assets\B30_025__LSE_FOUND_B27_ROOTS_Tomato_FusariumWilt_VascularBrowningStemSplit_NCSU-IngaMeadows_GRANTED-NCSU.jpg"
"B30_026__LSE_FOUND_B27_ROOTS_Pepper_DampingOff_StemCankerSoilLine_UMass-TSmith_GRANTED-UMass.jpg","third-party","GRANTED-UMass","GRANTED","UMass Extension permission, via Jason Lanier",,"","UMass-TSmith","UMass","granted, UMass Extension permission, via Jason Lanier","clear","Book 4","700x525","92","C:\Users\dstor\lse-repo\assets\B30_026__LSE_FOUND_B27_ROOTS_Pepper_DampingOff_StemCankerSoilLine_UMass-TSmith_GRANTED-UMass.jpg"
"B30_027__LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_PodDamageLarva_BrantleeSpakesRichter-UF-Bugwood_BW194930.jpg","third-party","BW194930","GRANTED","Bugwood image request 194930, approved",,"","Brantlee Spakes Richter-UF-Bugwood","Bugwood","granted, Bugwood image request 194930, approved","clear","Book 4","2183x3072","960","C:\Users\dstor\lse-repo\assets\B30_027__LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_PodDamageLarva_BrantleeSpakesRichter-UF-Bugwood_BW194930.jpg"
"B30_028__LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_LarvaInPod_BrantleeSpakesRichter-UF-Bugwood_BW194930.jpg","third-party","BW194930","GRANTED","Bugwood image request 194930, approved",,"","Brantlee Spakes Richter-UF-Bugwood","Bugwood","granted, Bugwood image request 194930, approved","clear","Book 4","1170x1536","465","C:\Users\dstor\lse-repo\assets\B30_028__LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_LarvaInPod_BrantleeSpakesRichter-UF-Bugwood_BW194930.jpg"
"B30_029__LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_AdultScouting_BrantleeSpakesRichter-UF-Bugwood_BW194930.jpg","third-party","BW194930","GRANTED","Bugwood image request 194930, approved",,"","Brantlee Spakes Richter-UF-Bugwood","Bugwood","granted, Bugwood image request 194930, approved","clear","Book 4","633x768","127","C:\Users\dstor\lse-repo\assets\B30_029__LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_AdultScouting_BrantleeSpakesRichter-UF-Bugwood_BW194930.jpg"
"B30_030__LSE_FOUND_B27_PEST_Eggplant_FleaBeetle_ShotHolePittedLeaf_DavidCappaert-Bugwood_BW194930.jpg","third-party","BW194930","GRANTED","Bugwood image request 194930, approved",,"","David Cappaert-Bugwood","Bugwood","granted, Bugwood image request 194930, approved","clear","Book 4","3072x2048","3045","C:\Users\dstor\lse-repo\assets\B30_030__LSE_FOUND_B27_PEST_Eggplant_FleaBeetle_ShotHolePittedLeaf_DavidCappaert-Bugwood_BW194930.jpg"
"B30_031__LSE_FOUND_B27_PEST_Corn_BlackCutworm_SeveredSeedlingDamage_WM-Hantsbarger_CC-BY-3.0-US.jpg","third-party","CC-BY-3","BY","Attribution 3.0",,"","WM-Hantsbarger","","open licence","clear","Book 4","1000x759","116","C:\Users\dstor\lse-repo\assets\B30_031__LSE_FOUND_B27_PEST_Corn_BlackCutworm_SeveredSeedlingDamage_WM-Hantsbarger_CC-BY-3.0-US.jpg"
"B30_032__LSE_FOUND_B27_EXCLUSION_Seedlings_CutwormCollars_CardboardBarrier_KathleenMoore_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Kathleen Moore","","open licence","clear","Book 4","413x600","64","C:\Users\dstor\lse-repo\assets\B30_032__LSE_FOUND_B27_EXCLUSION_Seedlings_CutwormCollars_CardboardBarrier_KathleenMoore_CC-BY-2.0.jpg"
"B30_033__LSE_FOUND_B27_EXCLUSION_VegetableBeds_FloatingRowCover_PhysicalBarrier_ScotNelson_CONDITIONAL.jpg","third-party",,"","","CONDITIONAL","Usable under stated conditions. Record them.","Scot Nelson","","","check","Book 4","600x450","43","C:\Users\dstor\lse-repo\assets\B30_033__LSE_FOUND_B27_EXCLUSION_VegetableBeds_FloatingRowCover_PhysicalBarrier_ScotNelson_CONDITIONAL.jpg"
"B30_034__LSE_FOUND_B27_EXCLUSION_Containers_SlugBarrier_CopperTape_KathleenMoore_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Kathleen Moore","","open licence","clear","Book 4","450x600","60","C:\Users\dstor\lse-repo\assets\B30_034__LSE_FOUND_B27_EXCLUSION_Containers_SlugBarrier_CopperTape_KathleenMoore_CC-BY-2.0.jpg"
"B30_035__LSE_FOUND_B27_ABIOTIC_Squash_PesticideBurn_SoapPyrethrinLeafScorch_UMD_VERIFY.jpg","third-party",,"","","VERIFY","Rights not confirmed at filing time.","UMD","UMD","granted","clear","Book 4","1000x664","80","C:\Users\dstor\lse-repo\assets\B30_035__LSE_FOUND_B27_ABIOTIC_Squash_PesticideBurn_SoapPyrethrinLeafScorch_UMD_VERIFY.jpg"
"B30_036__LSE_FOUND_B27_ABIOTIC_Bean_PesticideBurn_LeafScorch_UMD_VERIFY.jpg","third-party",,"","","VERIFY","Rights not confirmed at filing time.","UMD","UMD","granted","clear","Book 4","825x1100","281","C:\Users\dstor\lse-repo\assets\B30_036__LSE_FOUND_B27_ABIOTIC_Bean_PesticideBurn_LeafScorch_UMD_VERIFY.jpg"
"B30_037__LSE_FOUND_B27_ABIOTIC_VegetableTransplant_ColdFreezeDamage_WhiteLeaves_UMD_VERIFY.jpg","third-party",,"","","VERIFY","Rights not confirmed at filing time.","UMD","UMD","granted","clear","Book 4","472x328","21","C:\Users\dstor\lse-repo\assets\B30_037__LSE_FOUND_B27_ABIOTIC_VegetableTransplant_ColdFreezeDamage_WhiteLeaves_UMD_VERIFY.jpg"
"B30_038__LSE_FOUND_B27_ABIOTIC_Tomato_FertilizerBurn_YoungLeafScorch_UMD_VERIFY.jpg","third-party",,"","","VERIFY","Rights not confirmed at filing time.","UMD","UMD","granted","clear","Book 4","400x300","19","C:\Users\dstor\lse-repo\assets\B30_038__LSE_FOUND_B27_ABIOTIC_Tomato_FertilizerBurn_YoungLeafScorch_UMD_VERIFY.jpg"
"B30_039__LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FruitNecrosis_NCSU-CC-BY-NC-SA.jpg","third-party","CC-BY-NC-SA","NC-SA","NonCommercial + ShareAlike",,"","Fruit Necrosis","NCSU","open licence, ShareAlike noted","clear","Book 4","389x386","31","C:\Users\dstor\lse-repo\assets\B30_039__LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FruitNecrosis_NCSU-CC-BY-NC-SA.jpg"
"B30_040__LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FoliageStemNecrosis_NCSU-CC-BY-NC-SA.jpg","third-party","CC-BY-NC-SA","NC-SA","NonCommercial + ShareAlike",,"","Foliage Stem Necrosis","NCSU","open licence, ShareAlike noted","clear","Book 4","556x553","79","C:\Users\dstor\lse-repo\assets\B30_040__LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FoliageStemNecrosis_NCSU-CC-BY-NC-SA.jpg"
"B30_045__LSE_FOUND_B28_ABIOTIC_Tomato_HailDamage_FruitBruisesHoles_DwightSipler_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Dwight Sipler","","open licence","clear","Book 4","665x1000","90","C:\Users\dstor\lse-repo\assets\B30_045__LSE_FOUND_B28_ABIOTIC_Tomato_HailDamage_FruitBruisesHoles_DwightSipler_CC-BY-2.0.jpg"
"B30_046__LSE_FOUND_B28_ROOTS_Tomato_BacterialWilt_StemCrossSection_ClemsonUSDA_CC-BY-3.0.jpg","third-party","CC-BY-3","BY","Attribution 3.0",,"","Clemson USDA","","open licence","clear","Book 4","1000x966","107","C:\Users\dstor\lse-repo\assets\B30_046__LSE_FOUND_B28_ROOTS_Tomato_BacterialWilt_StemCrossSection_ClemsonUSDA_CC-BY-3.0.jpg"
"B30_047__LSE_FOUND_B28_DISEASE_Tomato_RhizoctoniaSolani_FruitRotBlackLesions_JGK_hn_CC-BY-3.0.jpg","third-party","CC-BY-3","BY","Attribution 3.0",,"","hn","","open licence","clear","Book 4","685x999","104","C:\Users\dstor\lse-repo\assets\B30_047__LSE_FOUND_B28_DISEASE_Tomato_RhizoctoniaSolani_FruitRotBlackLesions_JGK_hn_CC-BY-3.0.jpg"
"B30_048__LSE_FOUND_B28_PEST_Brassica_CabbageFlyMaggot_RootDamage_Kohlrabi_SchlagheckenJosef_CC-BY-4.0.jpg","third-party","CC-BY-4","BY","Attribution 4.0",,"","Schlaghecken Josef","","open licence","clear","Book 4","1000x750","72","C:\Users\dstor\lse-repo\assets\B30_048__LSE_FOUND_B28_PEST_Brassica_CabbageFlyMaggot_RootDamage_Kohlrabi_SchlagheckenJosef_CC-BY-4.0.jpg"
"B30_049__LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg","third-party","CC-BY-4","BY","Attribution 4.0",,"","Vladislav Nekrasov","","open licence","clear","Book 1","999x666","94","C:\Users\dstor\lse-repo\assets\B30_049__LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg"
"B30_050__LSE_FOUND_B28_ABIOTIC_Tomato_FrostDamage_LeafFruitBurn_AmroBinKulthoum_CC-BY-SA-3.0.jpg","third-party","CC-BY-SA-3","SA","ShareAlike 3.0",,"","Amro Bin Kulthoum","","open licence, ShareAlike noted","clear","Book 4","1000x750","169","C:\Users\dstor\lse-repo\assets\B30_050__LSE_FOUND_B28_ABIOTIC_Tomato_FrostDamage_LeafFruitBurn_AmroBinKulthoum_CC-BY-SA-3.0.jpg"
"B30_051__LSE_FOUND_B28_DISEASE_Tomato_SouthernBlight_SclerotiaAtCrown_PersleyCooke_CC-BY-SA-3.0_LOWRES.jpg","third-party","CC-BY-SA-3","SA","ShareAlike 3.0","LOWRES","Resolution concern for print, not rights.","Persley Cooke","","open licence, ShareAlike noted","clear","Book 4","498x500","60","C:\Users\dstor\lse-repo\assets\B30_051__LSE_FOUND_B28_DISEASE_Tomato_SouthernBlight_SclerotiaAtCrown_PersleyCooke_CC-BY-SA-3.0_LOWRES.jpg"
"B30_052__LSE_FOUND_B28_PEST_Brassica_CabbageFlyLarva_StalkDamage_PakChoi_SchlagheckenJosef_CC-BY-SA-4.0.jpg","third-party","CC-BY-SA-4","SA","ShareAlike 4.0",,"","Schlaghecken Josef","","open licence, ShareAlike noted","clear","Book 4","1000x750","180","C:\Users\dstor\lse-repo\assets\B30_052__LSE_FOUND_B28_PEST_Brassica_CabbageFlyLarva_StalkDamage_PakChoi_SchlagheckenJosef_CC-BY-SA-4.0.jpg"
"B30_053__LSE_FOUND_B28_PEST_Brassica_DeliaRadicum_MaggotPupaLifeStages_Rasbak_CC-BY-SA-GFDL.jpg","third-party","CC-BY-SA-GFDL","SA","ShareAlike + GFDL dual licence",,"","Rasbak","","open licence, ShareAlike noted","clear","Book 4","1000x784","152","C:\Users\dstor\lse-repo\assets\B30_053__LSE_FOUND_B28_PEST_Brassica_DeliaRadicum_MaggotPupaLifeStages_Rasbak_CC-BY-SA-GFDL.jpg"
