"filename","family","license","license_class","license_note","status_flag","status_note","attribution","institution","ledger","verdict","used_by","dims","kb","path"
"LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png","self-created (figure)",,"","",,"","Ch09","","","self","Book 1","1536x1024","768","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png"
"LSE_A09_Compost_Maturity_Contamination_Inspection_Ch13.jpg","self-created (figure)",,"","",,"","Ch13","","","self","Book 2","1122x1402","627","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A09_Compost_Maturity_Contamination_Inspection_Ch13.jpg"
"LSE_A10_Brews_Teas_Ferments_Safety_Station_Ch19.jpg","self-created (figure)",,"","",,"","Ch19","","","self","Book 2","1122x1402","557","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A10_Brews_Teas_Ferments_Safety_Station_Ch19.jpg"
"LSE_A12_Living_Soil_Container_Cross_Section_Ch22.jpg","self-created (figure)",,"","",,"","Ch22","","","self","Book 1","1122x1402","592","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A12_Living_Soil_Container_Cross_Section_Ch22.jpg"
"LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.jpg","self-created (figure)",,"","",,"","Ch25","","","self","Book 1","1122x1402","646","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.jpg"
"LSE_A14_Insectary_Pollinator_Guild_Ch28.jpg","self-created (figure)",,"","",,"","Ch28","","","self","Book 3","1122x1402","701","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A14_Insectary_Pollinator_Guild_Ch28.jpg"
"LSE_A15_Crop_Family_Rotation_Map_Ch29.png","self-created (figure)",,"","",,"","Ch29","","","self","Book 3","1122x1402","822","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A15_Crop_Family_Rotation_Map_Ch29.png"
"LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.jpg","self-created (figure)",,"","",,"","Ch36","","","self","Book 1","1024x1536","676","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.jpg"
"LSE_A18_IPM_Pyramid_Scouting_Ch39.jpg","self-created (figure)",,"","",,"","Ch39","","","self","Book 1","1122x1402","561","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A18_IPM_Pyramid_Scouting_Ch39.jpg"
"LSE_A20_Soil_Microscopy_Workflow_Ch44.png","self-created (figure)",,"","",,"","Ch44","","","self","Book 1","1122x1402","794","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A20_Soil_Microscopy_Workflow_Ch44.png"
"LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.jpg","self-created (figure)",,"","",,"","Ch05","","","self","Book 1","1254x1254","511","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.jpg"
"LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png","self-created (figure)",,"","",,"","44","","","self","Book 1","1122x1402","789","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png"
"LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.jpg","self-created (figure)",,"","",,"","17","","","self","Book 1","1149x1369","593","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.jpg"
"LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.jpg","self-created (figure)",,"","",,"","Ch07","","","self","Book 1","1536x1024","682","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.jpg"
"LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.jpg","self-created (figure)",,"","",,"","Ch08","","","self","Book 1","1254x1254","651","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.jpg"
"LSE_B08_Thermal_Compost_Process_Ch09_Ch13.jpg","self-created (figure)",,"","",,"","Ch13","","","self","Book 1","1149x1369","619","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B08_Thermal_Compost_Process_Ch09_Ch13.jpg"
"LSE_B09_Compost_Extract_vs_AACT_Ch09_19.jpg","self-created (figure)",,"","",,"","19","","","self","Book 1","1149x1369","456","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B09_Compost_Extract_vs_AACT_Ch09_19.jpg"
"LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.jpg","self-created (figure)",,"","",,"","23","","","self","Book 1","1254x1254","533","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.jpg"
"LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.jpg","self-created (figure)",,"","",,"","Ch41","","","self","Book 1","1122x1402","605","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.jpg"
"LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png","self-created (figure)",,"","",,"","Ch19","","","self","Book 1","1122x1402","824","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png"
"LSE_B13_JADAM_Safety_Plate_Ch12_19_41.jpg","self-created (figure)",,"","",,"","41","","","self","Book 1","1149x1369","544","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B13_JADAM_Safety_Plate_Ch12_19_41.jpg"
"LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png","self-created (figure)",,"","",,"","Ch14","","","self","Book 2","1199x1312","681","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png"
"LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.jpg","self-created (figure)",,"","",,"","Ch14","","","self","Book 1","1402x1122","569","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.jpg"
"LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.jpg","self-created (figure)",,"","",,"","Ch17","","","self","Book 2","1199x1312","575","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.jpg"
"LSE_B18_Raw_vs_Charged_Biochar_Ch18.jpg","self-created (figure)",,"","",,"","Ch18","","","self","Book 2","1197x1315","579","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B18_Raw_vs_Charged_Biochar_Ch18.jpg"
"LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","self-created (figure)",,"","",,"","Ch23","","","self","Book 1","1536x1024","607","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png"
"LSE_B22_Top_Dress_Layer_Cake_Ch24.jpg","self-created (figure)",,"","",,"","Ch24","","","self","Book 1","1195x1316","680","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B22_Top_Dress_Layer_Cake_Ch24.jpg"
"LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","self-created (figure)",,"","",,"","Ch25","","","self","Book 1","1402x1122","760","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png"
"LSE_B24_Companion_Planting_Mechanism_vs_Folklore_Ch26.jpg","self-created (figure)",,"","",,"","Ch26","","","self","Book 3","1024x1536","615","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B24_Companion_Planting_Mechanism_vs_Folklore_Ch26.jpg"
"LSE_B25_Seven_Layer_Guild_Design_Texas_Peach_Ch27.jpg","self-created (figure)",,"","",,"","Ch27","","","self","Book 3","1149x1369","700","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B25_Seven_Layer_Guild_Design_Texas_Peach_Ch27.jpg"
"LSE_B26_Flower_Architecture_For_Beneficial_Insects_Ch28_40.jpg","self-created (figure)",,"","",,"","40","","","self","Book 3","1198x1313","599","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B26_Flower_Architecture_For_Beneficial_Insects_Ch28_40.jpg"
"LSE_B28_North_Texas_Bed_Pivot_Calendar_Ch25_Ch29_Ch30.png","self-created (figure)",,"","",,"","Ch30","","","self","Book 3","1536x1024","812","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B28_North_Texas_Bed_Pivot_Calendar_Ch25_Ch29_Ch30.png"
"LSE_B29_Herb_Grouping_Matrix_Ch31.png","self-created (figure)",,"","",,"","Ch31","","","self","Book 3","1402x1122","650","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B29_Herb_Grouping_Matrix_Ch31.png"
"LSE_B30_Irrigation_Systems_Compared_Ch34.jpg","self-created (figure)",,"","",,"","Ch34","","","self","Book 1","1536x1024","628","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B30_Irrigation_Systems_Compared_Ch34.jpg"
"LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png","self-created (figure)",,"","",,"","49","","","self","Book 1","1195x1316","787","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png"
"LSE_B33_Beneficial_Insect_Lifecycle_Plate_Ch40.jpg","self-created (figure)",,"","",,"","Ch40","","","self","Book 4","1536x1024","623","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B33_Beneficial_Insect_Lifecycle_Plate_Ch40.jpg"
"LSE_B36_Yellowing_Leaves_Decision_Tree_AppB.png","self-created (figure)",,"","",,"","App B","","","self","Book 5","1024x1536","933","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B36_Yellowing_Leaves_Decision_Tree_AppB.png"
"LSE_C01_Annual_Soil_Building_Calendar_Ch49_AppC.png","self-created (figure)",,"","",,"","App C","","","self","Book 5","1536x1024","761","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C01_Annual_Soil_Building_Calendar_Ch49_AppC.png"
"LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png","self-created (figure)",,"","",,"","Ch49","","","self","Book 1","1536x1024","723","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png"
"LSE_C03_Daily_Weekly_Scouting_Route_Ch39_Ch49.jpg","self-created (figure)",,"","",,"","Ch49","","","self","Book 4","1536x1024","714","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C03_Daily_Weekly_Scouting_Route_Ch39_Ch49.jpg"
"LSE_C05_Irrigation_Maintenance_Checklist_Ch34_35_49.png","self-created (figure)",,"","",,"","49","","","self","Book 1","1024x1536","673","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C05_Irrigation_Maintenance_Checklist_Ch34_35_49.png"
"LSE_C06_AACT_Brewing_Safety_Workflow_Ch19_Ch49.png","self-created (figure)",,"","",,"","Ch49","","","self","Book 2","1024x1536","803","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C06_AACT_Brewing_Safety_Workflow_Ch19_Ch49.png"
"LSE_C07_Harvest_Postharvest_Handling_Workflow_Ch49.png","self-created (figure)",,"","",,"","Ch49","","","self","Book 4","1536x1024","782","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C07_Harvest_Postharvest_Handling_Workflow_Ch49.png"
"LSE_C08_Crop_Planning_Succession_Board_Ch29_49.jpg","self-created (figure)",,"","",,"","49","","","self","Book 3","1536x1024","551","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C08_Crop_Planning_Succession_Board_Ch29_49.jpg"
"LSE_C10_Refractometer_Protocol_Card_Ch47.png","self-created (figure)",,"","",,"","Ch47","","","self","Book 4","1536x1024","702","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C10_Refractometer_Protocol_Card_Ch47.png"
"LSE_C12_Soil_Test_Report_Decoder_Ch45.png","self-created (figure)",,"","",,"","Ch45","","","self","Book 1","1536x1024","695","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C12_Soil_Test_Report_Decoder_Ch45.png"
"LSE_C13_Mobile_vs_Immobile_Nutrient_Symptom_Map_Ch46.png","self-created (figure)",,"","",,"","Ch46","","","self","Book 4","1149x1369","857","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C13_Mobile_vs_Immobile_Nutrient_Symptom_Map_Ch46.png"
"LSE_C14_Electroculture_Self_Experiment_Layout_Ch48.jpg","self-created (figure)",,"","",,"","Ch48","","","self","Book 5","1122x1402","600","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C14_Electroculture_Self_Experiment_Layout_Ch48.jpg"
"LSE_C16_Herb_Barrel_Setup_Sequence_Ch31.jpg","self-created (figure)",,"","",,"","Ch31","","","self","Book 3","1536x1024","601","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C16_Herb_Barrel_Setup_Sequence_Ch31.jpg"
"LSE_C17_Basil_Pruning_Downy_Mildew_Scouting_Ch31_42.jpg","self-created (figure)",,"","",,"","42","","","self","Book 3","1402x1122","463","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C17_Basil_Pruning_Downy_Mildew_Scouting_Ch31_42.jpg"
"LSE_C18_Cilantro_Dill_Cool_Season_Succession_Ch31.jpg","self-created (figure)",,"","",,"","Ch31","","","self","Book 3","1536x1024","530","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C18_Cilantro_Dill_Cool_Season_Succession_Ch31.jpg"
"LSE_C19_Woody_Herb_Harvest_Limits_Ch31.jpg","self-created (figure)",,"","",,"","Ch31","","","self","Book 3","1536x1024","554","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C19_Woody_Herb_Harvest_Limits_Ch31.jpg"
"LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.jpg","self-created (figure)",,"","",,"","Ch25","","","self","Book 1","1536x1024","681","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.jpg"
"LSE_D01_Wilt_Triage_Decision_Tree_Ch42.png","self-created (figure)",,"","",,"","Ch42","","","self","Book 4","1122x1402","709","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D01_Wilt_Triage_Decision_Tree_Ch42.png"
"LSE_D02_Southern_Blight_vs_White_Mold_Ch42.jpg","self-created (figure)",,"","",,"","Ch42","","","self","Book 4","1402x1122","598","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D02_Southern_Blight_vs_White_Mold_Ch42.jpg"
"LSE_D03_Damping_Off_Lookalike_Plate_Ch42_49.jpg","self-created (figure)",,"","",,"","49","","","self","Book 4","1402x1122","530","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D03_Damping_Off_Lookalike_Plate_Ch42_49.jpg"
"LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png","self-created (figure)",,"","",,"","Ch44","","","self","Book 1","1536x1024","792","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png"
"LSE_D05_Herbicide_Drift_Growth_Regulator_Lookalike_Plate_Ch42.jpg","self-created (figure)",,"","",,"","Ch42","","","self","Book 4","1536x1024","633","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D05_Herbicide_Drift_Growth_Regulator_Lookalike_Plate_Ch42.jpg"
"LSE_D13_Squash_Vine_Borer_Scouting_Plate_Ch30_39.jpg","self-created (figure)",,"","",,"","39","","","self","Book 3","1536x1024","614","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D13_Squash_Vine_Borer_Scouting_Plate_Ch30_39.jpg"
"LSE_D14_Cucumber_Beetle_Bacterial_Wilt_Vector_Diagram_Ch30_Ch39_Ch42.jpg","self-created (figure)",,"","",,"","Ch42","","","self","Book 3","1536x1024","554","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D14_Cucumber_Beetle_Bacterial_Wilt_Vector_Diagram_Ch30_Ch39_Ch42.jpg"
"LSE_D15_Tomato_Leaf_Spot_Lookalikes_Ch42.jpg","self-created (figure)",,"","",,"","Ch42","","","self","Book 4","1536x1024","522","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D15_Tomato_Leaf_Spot_Lookalikes_Ch42.jpg"
"LSE_D16_Pepper_Abiotic_Disorders_Herbicide_Lookalikes_Ch42.jpg","self-created (figure)",,"","",,"","Ch42","","","self","Book 4","1536x1024","647","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D16_Pepper_Abiotic_Disorders_Herbicide_Lookalikes_Ch42.jpg"
"LSE_D17_Okra_Pod_Injury_Hidden_Pest_Damage_Ch30.jpg","self-created (figure)",,"","",,"","Ch30","","","self","Book 3","1536x1024","537","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D17_Okra_Pod_Injury_Hidden_Pest_Damage_Ch30.jpg"
"LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.jpg","self-created (figure)",,"","",,"","Ch44","","","self","Book 1","1536x1024","588","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.jpg"
"LSE_D19_Powdery_Mildew_vs_Downy_Mildew_Ch42.jpg","self-created (figure)",,"","",,"","Ch42","","","self","Book 4","1402x1122","605","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D19_Powdery_Mildew_vs_Downy_Mildew_Ch42.jpg"
"LSE_D20_Basil_Downy_Mildew_vs_Nutrient_Yellowing_Ch31_42.jpg","self-created (figure)",,"","",,"","42","","","self","Book 3","1536x1024","532","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D20_Basil_Downy_Mildew_vs_Nutrient_Yellowing_Ch31_42.jpg"
"LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.jpg","self-created (figure)",,"","",,"","Ch33","","","self","Book 1","1536x1024","640","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.jpg"
"LSE_E03_Row_Cover_Low_Tunnel_Timing_Plate_Ch30_36_39.jpg","self-created (figure)",,"","",,"","39","","","self","Book 3","1536x1024","614","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E03_Row_Cover_Low_Tunnel_Timing_Plate_Ch30_36_39.jpg"
"LSE_E05_Barrel_Herb_Garden_Cross_Section_Ch31.jpg","self-created (figure)",,"","",,"","Ch31","","","self","Book 3","1402x1122","536","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E05_Barrel_Herb_Garden_Cross_Section_Ch31.jpg"
"LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.jpg","self-created (figure)",,"","",,"","Ch31","","","self","Book 1","1402x1122","529","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.jpg"
"LSE_E07_Living_Mulch_Insectary_Strip_Boundary_Ch28.jpg","self-created (figure)",,"","",,"","Ch28","","","self","Book 3","1536x1024","696","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E07_Living_Mulch_Insectary_Strip_Boundary_Ch28.jpg"
"LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.jpg","self-created (figure)",,"","",,"","Ch25","","","self","Book 1","1536x1024","605","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.jpg"
"LSE_E10_Pollinator_Safe_Spray_Timing_Ch28_39_41.jpg","self-created (figure)",,"","",,"","41","","","self","Book 3","1536x1024","511","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E10_Pollinator_Safe_Spray_Timing_Ch28_39_41.jpg"
"LSE_E11_North_Texas_Insectary_Bloom_Succession_Calendar_Ch28_40.png","self-created (figure)",,"","",,"","40","","","self","Book 3","1536x1024","749","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E11_North_Texas_Insectary_Bloom_Succession_Calendar_Ch28_40.png"
"LSE_E12_Trap_Crop_Decision_Nasturtium_Aphids_Ch26_Ch28_Ch39.jpg","self-created (figure)",,"","",,"","Ch39","","","self","Book 3","1536x1024","588","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E12_Trap_Crop_Decision_Nasturtium_Aphids_Ch26_Ch28_Ch39.jpg"
"LSE_E14_Hoop_House_Spring_Rain_vs_Summer_Heat_Ch36.jpg","self-created (figure)",,"","",,"","Ch36","","","self","Book 1","1536x1024","589","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E14_Hoop_House_Spring_Rain_vs_Summer_Heat_Ch36.jpg"
"LSE_E16_Light_Metrics_PPFD_DLI_Concept_Ch37.jpg","self-created (figure)",,"","",,"","Ch37","","","self","Book 1","1536x1024","490","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E16_Light_Metrics_PPFD_DLI_Concept_Ch37.jpg"
"UCI_002_Bacterial_vs_Fungal_Soil_Dominance.jpg","self-created (UCI)",,"","",,"","Dominance","","","self","Book 1","1122x1402","686","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_002_Bacterial_vs_Fungal_Soil_Dominance.jpg"
"UCI_003_The_Nutrient_Mineralization_Loop.jpg","self-created (UCI)",,"","",,"","Loop","","","self","Book 1","1190x1322","703","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_003_The_Nutrient_Mineralization_Loop.jpg"
"UCI_004_Soil_Nutrient_Availability.jpg","self-created (UCI)",,"","",,"","Availability","","","self","Book 2","1402x1122","617","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_004_Soil_Nutrient_Availability.jpg"
"UCI_005_ISR_and_SAR_The_Plant_Immune_System.jpg","self-created (UCI)",,"","",,"","System","","","self","Book 1","1402x1122","676","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_005_ISR_and_SAR_The_Plant_Immune_System.jpg"
"UCI_006_Permaculture_Zone_Map.png","self-created (UCI)",,"","",,"","Map","","","self","Book 1","1254x1254","968","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_006_Permaculture_Zone_Map.png"
"UCI_007_Composite_Method_Reference.png","self-created (UCI)",,"","",,"","Reference","","","self","Book 1","1536x1024","788","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_007_Composite_Method_Reference.png"
"UCI_008_Soil_Input_Categories_Overview.jpg","self-created (UCI)",,"","",,"","Overview","","","self","Book 2","1448x1086","397","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_008_Soil_Input_Categories_Overview.jpg"
"UCI_009_Fungal_Bacterial_Input_Guide.png","self-created (UCI)",,"","",,"","Guide","","","self","Book 1","1536x1024","637","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_009_Fungal_Bacterial_Input_Guide.png"
"UCI_010_Biochar_Charging_Process.jpg","self-created (UCI)",,"","",,"","Process","","","self","Book 5","1448x1086","489","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_010_Biochar_Charging_Process.jpg"
"UCI_011_AACT_Brewing_Setup.jpg","self-created (UCI)",,"","",,"","Setup","","","self","Book 5","1448x1086","435","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_011_AACT_Brewing_Setup.jpg"
"UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.jpg","self-created (UCI)",,"","",,"","Strategy","","","self","Book 1","1536x1024","675","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.jpg"
"UCI_013_Beneficial_Insectary_Bloom_Calendar.png","self-created (UCI)",,"","",,"","Calendar","","","self","Book 3","1536x1024","643","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_013_Beneficial_Insectary_Bloom_Calendar.png"
"UCI_014_No_Till_Top_Dressing_Cycle.jpg","self-created (UCI)",,"","",,"","Cycle","","","self","Book 1","1254x1254","500","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_014_No_Till_Top_Dressing_Cycle.jpg"
"UCI_015_Three_Sisters_Guild.jpg","self-created (UCI)",,"","",,"","Guild","","","self","Book 3","1254x1254","578","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_015_Three_Sisters_Guild.jpg"
"UCI_016_Polyculture_Guild_Design.jpg","self-created (UCI)",,"","",,"","Design","","","self","Book 3","1122x1402","640","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_016_Polyculture_Guild_Design.jpg"
"UCI_017_North_Texas_Crop_Calendar.png","self-created (UCI)",,"","",,"","Calendar","","","self","Book 5","1536x1024","637","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_017_North_Texas_Crop_Calendar.png"
"UCI_018_Comparing_Irrigation_Systems_for_Home_Gardens.jpg","self-created (UCI)",,"","",,"","Gardens","","","self","Book 1","1536x1024","543","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_018_Comparing_Irrigation_Systems_for_Home_Gardens.jpg"
"UCI_020_Common_Dallas_Pest_Identification_Guide.png","self-created (UCI)",,"","",,"","Guide","","","self","Book 4","1536x1024","886","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_020_Common_Dallas_Pest_Identification_Guide.png"
"UCI_021_Refractometer_Use_Protocol.png","self-created (UCI)",,"","",,"","Protocol","","","self","LSE_INTERNAL_PRODUCTION_HOLD.html","1662x946","819","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_021_Refractometer_Use_Protocol.png"
"UCI_022_Irrigation_Systems_Comparison.png","self-created (UCI)",,"","",,"","Comparison","","","self","Book 1","1536x1024","752","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_022_Irrigation_Systems_Comparison.png"
"UCI_023_Soil_Test_Results_How_to_Read_Them.jpg","self-created (UCI)",,"","",,"","Them","","","self","Book 1","1536x1024","384","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_023_Soil_Test_Results_How_to_Read_Them.jpg"
"UCI_024_Rainwater_Harvesting_System_Home_Scale.jpg","self-created (UCI)",,"","",,"","Scale","","","self","Book 1","1536x1024","510","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_024_Rainwater_Harvesting_System_Home_Scale.jpg"
"UCI_025_Brix_Monitoring_Chart.png","self-created (UCI)",,"","",,"","Chart","","","self","Book 4","1536x1024","655","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_025_Brix_Monitoring_Chart.png"
"UCI_026_Electroculture_Experimental_Protocol_Layout.png","self-created (UCI)",,"","",,"","Layout","","","self","Book 5","1536x1024","804","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_026_Electroculture_Experimental_Protocol_Layout.png"
"UCI_027_Plant_Electrophysiology_Electrical_Signaling_Pathways.jpg","self-created (UCI)",,"","",,"","Pathways","","","self","Book 5","1149x1369","532","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_027_Plant_Electrophysiology_Electrical_Signaling_Pathways.jpg"
"UCI_028_Seasonal_Planting_Calendar.png","self-created (UCI)",,"","",,"","Calendar","","","self","Book 3, Book 5","1536x1024","661","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_028_Seasonal_Planting_Calendar.png"
"UCI_029_Troubleshooting_Decision_Tree_Yellowing_Leaves.png","self-created (UCI)",,"","",,"","Leaves","","","self","Book 4","1536x1024","633","C:\Users\dstor\lse-repo\assets\user_created_web\UCI_029_Troubleshooting_Decision_Tree_Yellowing_Leaves.png"
