"file","bucket","result","note"
"LSE_C08_Crop_Planning_Succession_Board_Ch29_49.png","jpeg","ok","2424 -> 551 KB, now .jpg"
"LSE_C10_Refractometer_Protocol_Card_Ch47.png","png256","ok","1884 -> 702 KB"
"LSE_C12_Soil_Test_Report_Decoder_Ch45.png","png256","ok","2117 -> 695 KB"
"LSE_C13_Mobile_vs_Immobile_Nutrient_Symptom_Map_Ch46.png","png256","ok","2557 -> 857 KB"
"LSE_C14_Electroculture_Self_Experiment_Layout_Ch48.png","jpeg","ok","2219 -> 600 KB, now .jpg"
"LSE_C16_Herb_Barrel_Setup_Sequence_Ch31.png","jpeg","ok","2353 -> 601 KB, now .jpg"
"LSE_C17_Basil_Pruning_Downy_Mildew_Scouting_Ch31_42.png","jpeg","ok","1943 -> 463 KB, now .jpg"
"LSE_C18_Cilantro_Dill_Cool_Season_Succession_Ch31.png","jpeg","ok","2063 -> 530 KB, now .jpg"
"LSE_C19_Woody_Herb_Harvest_Limits_Ch31.png","jpeg","ok","2340 -> 554 KB, now .jpg"
"LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png","jpeg","ok","2925 -> 681 KB, now .jpg"
"LSE_D01_Wilt_Triage_Decision_Tree_Ch42.png","png256","ok","2050 -> 709 KB"
"LSE_D02_Southern_Blight_vs_White_Mold_Ch42.png","jpeg","ok","2307 -> 598 KB, now .jpg"
"LSE_D03_Damping_Off_Lookalike_Plate_Ch42_49.png","jpeg","ok","2022 -> 530 KB, now .jpg"
"LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png","png256","ok","2401 -> 792 KB"
"LSE_D05_Herbicide_Drift_Growth_Regulator_Lookalike_Plate_Ch42.png","jpeg","ok","2581 -> 633 KB, now .jpg"
"LSE_D13_Squash_Vine_Borer_Scouting_Plate_Ch30_39.png","jpeg","ok","2369 -> 614 KB, now .jpg"
"LSE_D14_Cucumber_Beetle_Bacterial_Wilt_Vector_Diagram_Ch30_Ch39_Ch42.png","jpeg","ok","2419 -> 554 KB, now .jpg"
"LSE_D15_Tomato_Leaf_Spot_Lookalikes_Ch42.png","jpeg","ok","2161 -> 522 KB, now .jpg"
"LSE_D16_Pepper_Abiotic_Disorders_Herbicide_Lookalikes_Ch42.png","jpeg","ok","2432 -> 647 KB, now .jpg"
"LSE_D17_Okra_Pod_Injury_Hidden_Pest_Damage_Ch30.png","jpeg","ok","2122 -> 537 KB, now .jpg"
"LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.png","jpeg","ok","2218 -> 588 KB, now .jpg"
"LSE_D19_Powdery_Mildew_vs_Downy_Mildew_Ch42.png","jpeg","ok","2478 -> 605 KB, now .jpg"
"LSE_D20_Basil_Downy_Mildew_vs_Nutrient_Yellowing_Ch31_42.png","jpeg","ok","2139 -> 532 KB, now .jpg"
"LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.png","jpeg","ok","2736 -> 640 KB, now .jpg"
"LSE_E03_Row_Cover_Low_Tunnel_Timing_Plate_Ch30_36_39.png","jpeg","ok","2420 -> 614 KB, now .jpg"
"LSE_E05_Barrel_Herb_Garden_Cross_Section_Ch31.png","jpeg","ok","2152 -> 536 KB, now .jpg"
"LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png","jpeg","ok","2090 -> 529 KB, now .jpg"
"LSE_E07_Living_Mulch_Insectary_Strip_Boundary_Ch28.png","jpeg","ok","2808 -> 696 KB, now .jpg"
"LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png","jpeg","ok","2472 -> 605 KB, now .jpg"
"LSE_E10_Pollinator_Safe_Spray_Timing_Ch28_39_41.png","jpeg","ok","2023 -> 511 KB, now .jpg"
"LSE_E11_North_Texas_Insectary_Bloom_Succession_Calendar_Ch28_40.png","png256","ok","2156 -> 749 KB"
"LSE_E12_Trap_Crop_Decision_Nasturtium_Aphids_Ch26_Ch28_Ch39.png","jpeg","ok","2300 -> 588 KB, now .jpg"
"LSE_E14_Hoop_House_Spring_Rain_vs_Summer_Heat_Ch36.png","jpeg","ok","2454 -> 589 KB, now .jpg"
"LSE_E16_Light_Metrics_PPFD_DLI_Concept_Ch37.png","jpeg","ok","1966 -> 490 KB, now .jpg"
"UCI_002_Bacterial_vs_Fungal_Soil_Dominance.png","jpeg","ok","2736 -> 686 KB, now .jpg"
"UCI_003_The_Nutrient_Mineralization_Loop.png","jpeg","ok","2778 -> 703 KB, now .jpg"
"UCI_004_Soil_Nutrient_Availability.png","jpeg","ok","2571 -> 617 KB, now .jpg"
"UCI_005_ISR_and_SAR_The_Plant_Immune_System.png","jpeg","ok","2584 -> 676 KB, now .jpg"
"UCI_006_Permaculture_Zone_Map.png","png256","ok","2638 -> 968 KB"
"UCI_007_Composite_Method_Reference.png","png256","ok","2364 -> 788 KB"
"UCI_008_Soil_Input_Categories_Overview.png","jpeg","ok","1906 -> 397 KB, now .jpg"
"UCI_009_Fungal_Bacterial_Input_Guide.png","png256","ok","1894 -> 637 KB"
"UCI_010_Biochar_Charging_Process.png","jpeg","ok","2294 -> 489 KB, now .jpg"
"UCI_011_AACT_Brewing_Setup.png","jpeg","ok","2135 -> 435 KB, now .jpg"
"UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.png","jpeg","ok","2698 -> 675 KB, now .jpg"
"UCI_013_Beneficial_Insectary_Bloom_Calendar.png","png256","ok","1738 -> 643 KB"
"UCI_014_No_Till_Top_Dressing_Cycle.png","jpeg","ok","2261 -> 500 KB, now .jpg"
"UCI_015_Three_Sisters_Guild.png","jpeg","ok","2387 -> 578 KB, now .jpg"
"UCI_016_Polyculture_Guild_Design.png","jpeg","ok","2632 -> 640 KB, now .jpg"
"UCI_017_North_Texas_Crop_Calendar.png","png256","ok","2003 -> 637 KB"
"UCI_018_Comparing_Irrigation_Systems_for_Home_Gardens.png","jpeg","ok","2235 -> 543 KB, now .jpg"
"UCI_020_Common_Dallas_Pest_Identification_Guide.png","png256","ok","2808 -> 886 KB"
"UCI_021_Refractometer_Use_Protocol.png","png256","ok","2330 -> 819 KB"
"UCI_022_Irrigation_Systems_Comparison.png","png256","ok","2375 -> 752 KB"
"UCI_023_Soil_Test_Results_How_to_Read_Them.png","jpeg","ok","1658 -> 384 KB, now .jpg"
"UCI_024_Rainwater_Harvesting_System_Home_Scale.png","jpeg","ok","2513 -> 510 KB, now .jpg"
"UCI_025_Brix_Monitoring_Chart.png","png256","ok","1915 -> 655 KB"
"UCI_026_Electroculture_Experimental_Protocol_Layout.png","png256","ok","2322 -> 804 KB"
"UCI_027_Plant_Electrophysiology_Electrical_Signaling_Pathways.png","jpeg","ok","2676 -> 532 KB, now .jpg"
"UCI_028_Seasonal_Planting_Calendar.png","png256","ok","1960 -> 661 KB"
"UCI_029_Troubleshooting_Decision_Tree_Yellowing_Leaves.png","png256","ok","1586 -> 633 KB"
"UCI_030_Conversion_and_Dilution_Reference_Chart.png","png256","ok","2043 -> 663 KB"
"UCI_031_Home_Brew_Feed_Quick_Reference_Card.png","png256","ok","2171 -> 735 KB"
